"descripcion_normalizada","insumo_id","aprobado","decision","evidencia","clasificacion_analitica"
"CORTADOR","","True","excluir","Usuario: excluir categorías HERRAMIENTA. No eliminar registros originales.","HERRAMIENTA"
"CORTADORES, MOLDES Y DUYAS","","True","excluir","Usuario: duyas se clasifican como herramientas y se excluyen.","HERRAMIENTA"
"CORTADORES","","True","excluir","Usuario: excluir categorías HERRAMIENTA. No eliminar registros originales.","HERRAMIENTA"
"CORTAGALLETAS","","True","excluir","Usuario: excluir categorías HERRAMIENTA. No eliminar registros originales.","HERRAMIENTA"
"CREAM CHEESE FILLING PURATOS","","False","revisar","Pendiente de homologación por descripción.","RELLENO"
"CREMA BATIDA CHANTILLI ASTURIAS","chantilly_asturias","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","CHANTILLY"
"CREMA CACAHUATE SUELTA","","True","excluir","Usuario: excluir categorías OTROS. No eliminar registros originales.","OTROS"
"CREMA PARA BATIR AMBIANTE 1 LT","","False","revisar","Pendiente de homologación por descripción.","AMBIANTE"
"CREMA PASTELERA COCO","","False","revisar","Pendiente de homologación por descripción.","RELLENO"
"CREMA TIPO CHANTILLI","chantilly_sin_especificacion","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","CHANTILLY"
"CREMAS","","True","excluir","Usuario: excluir categorías NO DEFINIDO. No eliminar registros originales.","NO DEFINIDO"
"CREMFIL CREAM CHEESE FILLING PURATOS","","False","revisar","Pendiente de homologación por descripción.","QUESO CREMA"
"CUBREBOCA TRICAPA NEGRO Y DE","cubreboca_tricapa_negro_y_de","True","incluir","Usuario: incluir HORNEADO y CONSUMIBLES excepto duyas. Identificación según descripción original.","CONSUMIBLES"
"CUPCAKE 12","","False","revisar","Pendiente de homologación por descripción.","EMPAQUE"
"CUPCAKE 6","","False","revisar","Pendiente de homologación por descripción.","EMPAQUE"
"CUPCAKES DE 6 CAV","","False","revisar","Pendiente de homologación por descripción.","EMPAQUE"
"DE ABEJA","","True","excluir","Usuario: excluir categorías OTROS. No eliminar registros originales.","OTROS"
"DEIMAN ADITIVO PARA CHOCOLATE","","False","revisar","Pendiente de homologación por descripción.","DECORACION"
"DEIMAN BIOXIDO DE TITANIO","","False","revisar","Pendiente de homologación por descripción.","DECORACION"
"DEIMAN PLUMONES MAGICOS","","False","revisar","Pendiente de homologación por descripción.","DECORACION"
"DEIMAN SAB LIQ VAINILLA SIN COLOR 500 ML","","False","revisar","Pendiente de homologación por descripción.","DECORACION"
"DESCONOCIDO","","True","excluir","Usuario: excluir categorías NO DEFINIDO. No eliminar registros originales.","NO DEFINIDO"
"DIAMANTINA","","False","revisar","Pendiente de homologación por descripción.","DECORACION"
"DIFERENCIA CONTRA LO COBRADO","","True","excluir","Usuario: excluir categorías NO DEFINIDO. No eliminar registros originales.","NO DEFINIDO"
"DISCO DORADO PASTELOSO 32 CM","","False","revisar","Pendiente de homologación por descripción.","BASES"
"DJANA CEREZA C/ TALLO 460G","","False","revisar","Pendiente de homologación por descripción.","DULCERIA"
"DLR MALV C/ CHOCOLATE 32 PZ","dlr_malvavisco_chocolate_32_pz","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","CHOCOLATE"
"DLR MALV C/CHOCOLATE 32 PZ","dlr_malvavisco_chocolate_32_pz","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","CHOCOLATE"
"DLR MALV C/CHOCOLATE 50 PZ","","False","revisar","Pendiente de homologación por descripción.","CHOCOLATE"
"DMONTE ELOTE","dmonte_elote","True","incluir","Usuario: incluir HORNEADO y CONSUMIBLES excepto duyas. Identificación según descripción original.","HORNEADO"
"DOLCA","","True","excluir","Usuario: excluir categorías NO DEFINIDO. No eliminar registros originales.","NO DEFINIDO"
"DOMO 1/2 DE PLANCHA INIX","","False","revisar","Pendiente de homologación por descripción.","EMPAQUE"
"DOMO 1/2 PLANCHA INI","","False","revisar","Pendiente de homologación por descripción.","EMPAQUE"
"DOMO 1/4 PLANCHA","","False","revisar","Pendiente de homologación por descripción.","EMPAQUE"
"DOMO 12","","False","revisar","Pendiente de homologación por descripción.","EMPAQUE"
"DOMO 15-14","","False","revisar","Pendiente de homologación por descripción.","EMPAQUE"
"DOMO 28 CM INIX MEDIA","","False","revisar","Pendiente de homologación por descripción.","EMPAQUE"
"DOMO 4 MAN","","False","revisar","Pendiente de homologación por descripción.","EMPAQUE"
"DOMO 6 CUPCAKES","domo_cupcake_6","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","EMPAQUE"
"DOMO ALTO 33 CM INIX","","False","revisar","Pendiente de homologación por descripción.","EMPAQUE"
"DOMO DB09 27 CM WOW","","False","revisar","Pendiente de homologación por descripción.","EMPAQUE"
"DOMO DB3525A","","False","revisar","Pendiente de homologación por descripción.","EMPAQUE"
"DOMO DF12A 34CM WOW","","False","revisar","Pendiente de homologación por descripción.","EMPAQUE"
"DOMO ERA 2416-10M","","False","revisar","Pendiente de homologación por descripción.","EMPAQUE"
"DOMO GRANDE","","False","revisar","Pendiente de homologación por descripción.","EMPAQUE"
"DOMO MANTECADA 12 CAVIDADES","domo_cupcake_12","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","EMPAQUE"
"DOMO MANTECADA 6 CAVIDADES","domo_cupcake_6","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","EMPAQUE"
"DOMO PARA CUPCAKE 12 PIEZAS","domo_cupcake_12","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","EMPAQUE"
"DOMO PARA CUPCAKE 6 PIEZAS","domo_cupcake_6","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","EMPAQUE"
"DOMO PARA CUPCAKE","domo_cupcake_sin_capacidad","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","EMPAQUE"
"DOMO PARA CUPCAKES","domo_cupcake_sin_capacidad","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","EMPAQUE"
"DOMO RIGIDO 35-25 INIX","","False","revisar","Pendiente de homologación por descripción.","EMPAQUE"
"DOMO","","False","revisar","Pendiente de homologación por descripción.","EMPAQUE"
"DURAZNO EN ALMIBAR NA","","False","revisar","Pendiente de homologación por descripción.","RELLENO"
"DURAZNO MITADES EN ALMIBAR 820G","","False","revisar","Pendiente de homologación por descripción.","RELLENO"
"DUYA ALUMINIO REPO NO. 70","","True","excluir","Usuario: duyas se clasifican como herramientas y se excluyen.","HERRAMIENTA"
"DUYA PASTO CHICA","","True","excluir","Usuario: duyas se clasifican como herramientas y se excluyen.","HERRAMIENTA"
"DUYA","","True","excluir","Usuario: duyas se clasifican como herramientas y se excluyen.","HERRAMIENTA"
"EASY PASTEL TRES LECHES VAINILLA","","False","revisar","Pendiente de homologación por descripción.","HARINA"
"EASY PASTEL TRES LECHES","","False","revisar","Pendiente de homologación por descripción.","HARINA"
"ENCAJE","","False","revisar","Pendiente de homologación por descripción.","DECORACION"
"ENTREPISO 34 CM","","False","revisar","Pendiente de homologación por descripción.","BASES"
"ENTREPISO TETRAPACK","","False","revisar","Pendiente de homologación por descripción.","BASES"
"ENTREPISO","","False","revisar","Pendiente de homologación por descripción.","BASES"
"ENTREPISOS","","False","revisar","Pendiente de homologación por descripción.","BASES"
"ENVIO","","True","excluir","Usuario: excluir categorías OTROS. No eliminar registros originales.","OTROS"
"ES","","True","excluir","Usuario: excluir categorías HERRAMIENTA. No eliminar registros originales.","HERRAMIENTA"
"ESCENCIA MENTA","","False","revisar","Pendiente de homologación por descripción.","DECORACION"
"ESCENCIA ROMPOPE","","False","revisar","Pendiente de homologación por descripción.","DECORACION"
"ESPATULA PARA LEVANTAR PASTEL","","True","excluir","Usuario: excluir categorías HERRAMIENTA. No eliminar registros originales.","HERRAMIENTA"
"ESPATULA, REBANADOR DE PASTEL, MOLDES, PIPETILLAS, MANDIL, AGUJA PRUEBA DE PASTEL","","True","excluir","Usuario: excluir categorías HERRAMIENTA. No eliminar registros originales.","HERRAMIENTA"
"ESPATULA","","True","excluir","Usuario: excluir categorías HERRAMIENTA. No eliminar registros originales.","HERRAMIENTA"
"ESPATULAS","","True","excluir","Usuario: excluir categorías HERRAMIENTA. No eliminar registros originales.","HERRAMIENTA"
"ESTRELLA COLORES","","False","revisar","Pendiente de homologación por descripción.","DECORACION"
"ESTRELLAS","","False","revisar","Pendiente de homologación por descripción.","DECORACION"
"ESTRUCTURA","","True","excluir","Usuario: excluir categorías OTROS. No eliminar registros originales.","OTROS"
"EVAPORADA","leche_evaporada","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","LECHERA"
"EXTRUDE","","True","excluir","Usuario: excluir categorías OTROS. No eliminar registros originales.","OTROS"
"FECULA DE MAIZ","fecula_de_maiz","True","incluir","Usuario: incluir HORNEADO y CONSUMIBLES excepto duyas. Identificación según descripción original.","HORNEADO"
"FENIX CUCHARA PASTELERA 50 PZ","fenix_cuchara_pastelera_50_pz","True","incluir","Usuario: incluir HORNEADO y CONSUMIBLES excepto duyas. Identificación según descripción original.","CONSUMIBLES"
"FERRERO ROCHER T-10","","False","revisar","Pendiente de homologación por descripción.","CHOCOLATE"
"FERRERO ROCHER T-16","","False","revisar","Pendiente de homologación por descripción.","CHOCOLATE"
"FERRERO ROCHER","","False","revisar","Pendiente de homologación por descripción.","CHOCOLATE"
"FERRERO","","False","revisar","Pendiente de homologación por descripción.","CHOCOLATE"
"FIORENTINA MANGA NO 12 10 PZ","","False","revisar","Pendiente de homologación por descripción.","RELLENO"
"FOAMI CON DIAMANTINA CARTA","","True","excluir","Usuario: excluir categorías OTROS. No eliminar registros originales.","OTROS"
"FONDANT SABOR NATA COCO BLANCO","fondant_nata_coco_blanco","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","FONDANT"
"FOUNDANT SABOR NATA COCO BLANCO","fondant_nata_coco_blanco","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","FONDANT"
"FOUNDANT","","False","revisar","Pendiente de homologación por descripción.","FONDANT"
"GALLETA OREO BASE","","False","revisar","Pendiente de homologación por descripción.","RELLENO"
"GALLETA OREO RELLENO","","False","revisar","Pendiente de homologación por descripción.","GALLETAS"
"GALLETA OREO SUELTA","","False","revisar","Pendiente de homologación por descripción.","GALLETAS"
"GALLETA OREO","","False","revisar","Pendiente de homologación por descripción.","GALLETAS"
"GALLETA","","False","revisar","Pendiente de homologación por descripción.","GALLETAS"
"GAS LP","","True","excluir","Usuario: excluir categorías COMBUSTIBLE. No eliminar registros originales.","COMBUSTIBLE"
"GASOLINA (APROX)","","True","excluir","Usuario: excluir categorías COMBUSTIBLE. No eliminar registros originales.","COMBUSTIBLE"
"GASOLINA","","True","excluir","Usuario: excluir categorías COMBUSTIBLE. No eliminar registros originales.","COMBUSTIBLE"
"GLORIA MAN","","False","revisar","Pendiente de homologación por descripción.","MANTEQUILLA"
"GOMA ARO DURAZNO LUCK","","False","revisar","Pendiente de homologación por descripción.","RELLENO"
"GOMA ARO MANZANA LUCKY GUMMYS","","False","revisar","Pendiente de homologación por descripción.","DULCERIA"
"GOMA RICOLINO","","False","revisar","Pendiente de homologación por descripción.","DULCERIA"
"GRANILLO ALPESSI COLO","","False","revisar","Pendiente de homologación por descripción.","CHOCOLATE"
"GRANILLO CHICO","","False","revisar","Pendiente de homologación por descripción.","CHOCOLATE"
"GRANILLO CHOCOLATE COMBINADO TURIN","","False","revisar","Pendiente de homologación por descripción.","CHOCOLATE"
"GRANILLO CHOCOLATE SEMIAMARGO","","False","revisar","Pendiente de homologación por descripción.","CHOCOLATE"
"GRANILLO MAGIC COLORS - VARIOS","","False","revisar","Pendiente de homologación por descripción.","COLORANTES"
"GRANILLO MAGIC SPARKL","","False","revisar","Pendiente de homologación por descripción.","CHOCOLATE"
"GRANILLO T.S","","False","revisar","Pendiente de homologación por descripción.","CHOCOLATE"
"GRANILLO TURIN BLANCO","","False","revisar","Pendiente de homologación por descripción.","CHOCOLATE"
"GRANILLO TURIN LECHE","","False","revisar","Pendiente de homologación por descripción.","CHOCOLATE"
"GRANILLO TURIN SEMI AMARGO","granillo_turin_semiamargo","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","CHOCOLATE"
"GRANILLO TURIN","","False","revisar","Pendiente de homologación por descripción.","CHOCOLATE"
"GUANTE ESTERIL-PAR (LATEX)","guante_esteril_par_latex","True","incluir","Usuario: incluir HORNEADO y CONSUMIBLES excepto duyas. Identificación según descripción original.","CONSUMIBLES"
"GV A 10W L","","True","excluir","Usuario: excluir categorías NO DEFINIDO. No eliminar registros originales.","NO DEFINIDO"
"GV AZUCAR","","False","revisar","Pendiente de homologación por descripción.","AZUCAR"
"GV BARQ CH","","False","revisar","Pendiente de homologación por descripción.","DECORACION"
"GV DURAZNO","","False","revisar","Pendiente de homologación por descripción.","RELLENO"
"GV GLASS","","False","revisar","Pendiente de homologación por descripción.","AZUCAR"
"H. VAINILLA 3L","","False","revisar","Pendiente de homologación por descripción.","HARINA"
"HARINA DE TRIGO SUELTA","harina_trigo","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","HARINA"
"HARINA DE TRIGO","harina_trigo","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","HARINA"
"HARINA PINA COLADA ESPIGA MIX","","False","revisar","Pendiente de homologación por descripción.","HARINA"
"HARINA RED VELVET ESP","","False","revisar","Pendiente de homologación por descripción.","HARINA"
"HARINA SELECTA","","False","revisar","Pendiente de homologación por descripción.","HARINA"
"HARINA TRI","","False","revisar","Pendiente de homologación por descripción.","HARINA"
"HARINA TRIGO","harina_trigo","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","HARINA"
"HARINA","","False","revisar","Pendiente de homologación por descripción.","HARINA"
"HOJA COMESTIBLE DE ORO (COLORES)","","False","revisar","Pendiente de homologación por descripción.","DECORACION"
"HOJA DE ARROZ GRUESA","","False","revisar","Pendiente de homologación por descripción.","DECORACION"
"HOJAS DE ARROZ","","False","revisar","Pendiente de homologación por descripción.","DECORACION"
"HUE12PZCR","","False","revisar","Pendiente de homologación por descripción.","HUEVO"
"HUE1PZSAN","","False","revisar","Pendiente de homologación por descripción.","HUEVO"
"HUEVO AURRERA","","False","revisar","Pendiente de homologación por descripción.","HUEVO"
"HUEVO BLANCO LOS ALTOS KILO","","False","revisar","Pendiente de homologación por descripción.","HUEVO"
"HUEVO BLANCO PZ","","False","revisar","Pendiente de homologación por descripción.","HUEVO"
"HUEVO BLANCO SAN JUAN","","False","revisar","Pendiente de homologación por descripción.","HUEVO"
"HUEVO BLANCO TEPA DE LINEA","","False","revisar","Pendiente de homologación por descripción.","HUEVO"
"HUEVO BLANCO TEPA KILO","","False","revisar","Pendiente de homologación por descripción.","HUEVO"
"HUEVO BLANCO","","False","revisar","Pendiente de homologación por descripción.","HUEVO"
"HUEVO CALVARIO","","False","revisar","Pendiente de homologación por descripción.","HUEVO"
"HUEVO CRESTA ROJ","","False","revisar","Pendiente de homologación por descripción.","HUEVO"
"HUEVO SAN JUAN","huevo_san_juan","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","HUEVO"
"HUEVO","","False","revisar","Pendiente de homologación por descripción.","HUEVO"
"IBERIA 200","","False","revisar","Pendiente de homologación por descripción.","MANTEQUILLA"
"IBERIA 90","","False","revisar","Pendiente de homologación por descripción.","MANTEQUILLA"
"IBERIA","","False","revisar","Pendiente de homologación por descripción.","MANTEQUILLA"
"ILEGIBLE (GLATEA)","","True","excluir","Usuario: excluir categorías OTROS. No eliminar registros originales.","OTROS"
"ILEGIBLE (ROODS)","","True","excluir","Usuario: excluir categorías OTROS. No eliminar registros originales.","OTROS"
"INCA MANTE","","False","revisar","Pendiente de homologación por descripción.","MANTECA VEGETAL"
"INIX CONTENEDOR HAM TRANS 14X14 25 PZ","","False","revisar","Pendiente de homologación por descripción.","EMPAQUE"
"INIX CONTENEDOR MANTECADAS 25 PZ","","False","revisar","Pendiente de homologación por descripción.","EMPAQUE"
"INIX CONTENEDOR MANTECADAS","","False","revisar","Pendiente de homologación por descripción.","EMPAQUE"
"INIX CONTENEDOR MULTIUSOS 25 PZ","","False","revisar","Pendiente de homologación por descripción.","EMPAQUE"
"JARABE TRES LECHES DULCERITO PURATOS","","False","revisar","Pendiente de homologación por descripción.","JARABE | RELLENO"
"JUMEX COCO","","True","excluir","Usuario: excluir categorías NO DEFINIDO. No eliminar registros originales.","NO DEFINIDO"
"KISS ALMENDRA","","False","revisar","Pendiente de homologación por descripción.","CHOCOLATE"
"KISS LECHE","","False","revisar","Pendiente de homologación por descripción.","CHOCOLATE"
"KISS ROSA","","False","revisar","Pendiente de homologación por descripción.","CHOCOLATE"
"KISSES LECHE CHOC BL 807 GR","","False","revisar","Pendiente de homologación por descripción.","CHOCOLATE"
"KISSES LECHE","","False","revisar","Pendiente de homologación por descripción.","CHOCOLATE"
"KISSES PLATEADOS","","False","revisar","Pendiente de homologación por descripción.","CHOCOLATE"
"KISSES ROJO","","False","revisar","Pendiente de homologación por descripción.","CHOCOLATE"
"KISSES","","False","revisar","Pendiente de homologación por descripción.","CHOCOLATE"
"KIT KAT 9 PZ","","False","revisar","Pendiente de homologación por descripción.","CHOCOLATE"
"KRAFT PARME","","True","excluir","Usuario: excluir categorías NO DEFINIDO. No eliminar registros originales.","NO DEFINIDO"
"LECHERA SUELTA","","False","revisar","Pendiente de homologación por descripción.","LECHERA"
"LECHERA","","False","revisar","Pendiente de homologación por descripción.","LECHERA"
"LETRERO","","False","revisar","Pendiente de homologación por descripción.","DECORACION"
"LISTON BOLAS DIF","","True","excluir","Usuario: excluir categorías OTROS. No eliminar registros originales.","OTROS"
"LOCKER DESPENSERO CHOCOLATE","","True","excluir","Usuario: excluir categorías MUEBLES. No eliminar registros originales.","MUEBLES"
"LONA DE 80X180 CM","","True","excluir","Usuario: excluir categorías OTROS. No eliminar registros originales.","OTROS"
"LUNETA M&M'S GRANDE","","False","revisar","Pendiente de homologación por descripción.","RELLENO"
"LUNETA MINI M&M'S","","False","revisar","Pendiente de homologación por descripción.","RELLENO"
"LUNETA","","False","revisar","Pendiente de homologación por descripción.","RELLENO"
"MAIZENA160","","False","revisar","Pendiente de homologación por descripción.","RELLENO"
"MALV C/ CHOCOLATE 32 PZ COD","","False","revisar","Pendiente de homologación por descripción.","DULCERIA"
"MANGA CHICA","mangas","True","incluir","Usuario: incluir HORNEADO y CONSUMIBLES excepto duyas. Identificación según descripción original.","CONSUMIBLES"
"MANGA DESECHABLE CHICA","mangas","True","incluir","Usuario: incluir HORNEADO y CONSUMIBLES excepto duyas. Identificación según descripción original.","CONSUMIBLES"
"MANGA FRESA PURA","","False","revisar","Pendiente de homologación por descripción.","RELLENO"
"MANGA N.12","mangas","True","incluir","Usuario: incluir HORNEADO y CONSUMIBLES excepto duyas. Identificación según descripción original.","CONSUMIBLES"
"MANGA P/ DECORAR COLOR VERDE ALEGR","mangas","True","incluir","Usuario: incluir HORNEADO y CONSUMIBLES excepto duyas. Identificación según descripción original.","CONSUMIBLES"
"MANGA PARA DECORAR COLOR VERDE","mangas","True","incluir","Usuario: incluir HORNEADO y CONSUMIBLES excepto duyas. Identificación según descripción original.","CONSUMIBLES"
"MANGAS CHICAS","mangas","True","incluir","Usuario: incluir HORNEADO y CONSUMIBLES excepto duyas. Identificación según descripción original.","CONSUMIBLES"
"MANGAS","mangas","True","incluir","Usuario: incluir HORNEADO y CONSUMIBLES excepto duyas. Identificación según descripción original.","CONSUMIBLES"
"MANTECA","","True","excluir","Usuario: excluir categorías OTROS. No eliminar registros originales.","OTROS"
"MANTEQUILLA 1 KG GLORIA VERDE","mantequilla_gloria_verde","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","MANTEQUILLA"
"MANTEQUILLA 225 G GLORIA","mantequilla_gloria_225_g","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","MANTEQUILLA"
"MANTEQUILLA 225 G","","False","revisar","Pendiente de homologación por descripción.","MANTEQUILLA"
"MANTEQUILLA 225GR GLORIA","mantequilla_gloria_225_g","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","MANTEQUILLA"
"MANTEQUILLA GLORIA 22","","False","revisar","Pendiente de homologación por descripción.","MANTEQUILLA"
"MANTEQUILLA GLORIA VERDE","mantequilla_gloria_verde","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","MANTEQUILLA"
"MANTEQUILLA GLORIA","mantequilla_gloria_presentacion_no_especificada","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","MANTEQUILLA"
"MANTEQUILLA SIN SAL","","False","revisar","Pendiente de homologación por descripción.","MANTEQUILLA"
"MARG245G","margarina_245_g","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","MANTEQUILLA"
"MARG245GR","margarina_245_g","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","MANTEQUILLA"
"MARIAN SURTIDO NAVIDENO 340G","","False","revisar","Pendiente de homologación por descripción.","GALLETAS"
"MARIASDOR","","False","revisar","Pendiente de homologación por descripción.","GALLETAS"
"MARS M&M MINI VIT 215.6G","","False","revisar","Pendiente de homologación por descripción.","CHOCOLATE"
"MATIZADOR","","False","revisar","Pendiente de homologación por descripción.","DECORACION"
"MCADES DE SILICON","","True","excluir","Usuario: excluir categorías HERRAMIENTA. No eliminar registros originales.","HERRAMIENTA"
"MINI M&M'S","","False","revisar","Pendiente de homologación por descripción.","CHOCOLATE"
"MINICACAHUATE","","True","excluir","Usuario: excluir categorías OTROS. No eliminar registros originales.","OTROS"
"MOLDE ACETATO","","True","excluir","Usuario: excluir categorías HERRAMIENTA. No eliminar registros originales.","HERRAMIENTA"
"MOLDE CUPCAKE (6 PZ)","","False","revisar","Pendiente de homologación por descripción.","EMPAQUE"
"MOLDE DE SILICON GIRASOL","","True","excluir","Usuario: excluir categorías HERRAMIENTA. No eliminar registros originales.","HERRAMIENTA"
"MOLDE DE SILICON","","True","excluir","Usuario: excluir categorías HERRAMIENTA. No eliminar registros originales.","HERRAMIENTA"
"MOLDE F 16","","True","excluir","Usuario: excluir categorías HERRAMIENTA. No eliminar registros originales.","HERRAMIENTA"
"MOLDE F 16CM","","True","excluir","Usuario: excluir categorías HERRAMIENTA. No eliminar registros originales.","HERRAMIENTA"
"MOLDE F 18","","True","excluir","Usuario: excluir categorías HERRAMIENTA. No eliminar registros originales.","HERRAMIENTA"
"MOLDE F 22CM","","True","excluir","Usuario: excluir categorías HERRAMIENTA. No eliminar registros originales.","HERRAMIENTA"
"MOLDE F 28CM","","True","excluir","Usuario: excluir categorías HERRAMIENTA. No eliminar registros originales.","HERRAMIENTA"
"MOLDE F#18","","True","excluir","Usuario: excluir categorías HERRAMIENTA. No eliminar registros originales.","HERRAMIENTA"
"MOLDE PARA CHOCOLATE","","True","excluir","Usuario: excluir categorías HERRAMIENTA. No eliminar registros originales.","HERRAMIENTA"
"MOLDE PARA PASTEL","","True","excluir","Usuario: excluir categorías HERRAMIENTA. No eliminar registros originales.","HERRAMIENTA"
"MOLDE R22","","True","excluir","Usuario: excluir categorías HERRAMIENTA. No eliminar registros originales.","HERRAMIENTA"
"MOLDE","","True","excluir","Usuario: excluir categorías HERRAMIENTA. No eliminar registros originales.","HERRAMIENTA"
"MR PLAYERA","","True","excluir","Usuario: excluir categorías NO DEFINIDO. No eliminar registros originales.","NO DEFINIDO"
"ND","","True","excluir","Usuario: excluir categorías NO DEFINIDO. No eliminar registros originales.","NO DEFINIDO"
"NESCAFE 4","","False","revisar","Pendiente de homologación por descripción.","DECORACION"
"NESTLE BOTA FELICES FIESTAS","","True","excluir","Usuario: excluir categorías NO DEFINIDO. No eliminar registros originales.","NO DEFINIDO"
"NESTLE CARLOS V STICK 20 PZ","carlos_v_stick","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","CHOCOLATE"
"NIDO F 120","","False","revisar","Pendiente de homologación por descripción.","LECHE EN POLVO"
"NIDO FORTI","","False","revisar","Pendiente de homologación por descripción.","DECORACION"
"NUEZ GRANILLO","","False","revisar","Pendiente de homologación por descripción.","DECORACION | RELLENO"
"NUEZ PEDAZO","","False","revisar","Pendiente de homologación por descripción.","RELLENO | DULCERIA"
"NUEZ","","False","revisar","Pendiente de homologación por descripción.","RELLENO"
"NUTELLA 1 KG","nutella","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","RELLENO"
"NUTELLA 650G","nutella","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","RELLENO"
"NUTELLA CHICA 350 GRS","nutella","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","RELLENO"
"NUTELLA FRASCO 950 G","nutella","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","RELLENO"
"NUTELLA GRANDE 650 GR","nutella","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","RELLENO"
"NUTELLA","nutella","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","RELLENO"
"OBLEA ARROZ","","False","revisar","Pendiente de homologación por descripción.","DECORACION | TRANSFER"
"OREO 273.6","","False","revisar","Pendiente de homologación por descripción.","GALLETAS"
"OREO CHARO","","False","revisar","Pendiente de homologación por descripción.","GALLETAS"
"OREO ECONOPACK","","False","revisar","Pendiente de homologación por descripción.","GALLETAS"
"OREO FUDGE","","False","revisar","Pendiente de homologación por descripción.","GALLETAS"
"OREO VAINILLA","","False","revisar","Pendiente de homologación por descripción.","GALLETAS"
